W0814 23:08:08.866434  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.Location: the server could not find the requested resource
E0814 23:08:08.866587  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.Location: failed to list *v1alpha1.Location: the server could not find the requested resource
W0814 23:08:31.808996  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SinglePlacementSlice: the server could not find the requested resource
E0814 23:08:31.809042  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SinglePlacementSlice: failed to list *v1alpha1.SinglePlacementSlice: the server could not find the requested resource
W0814 23:08:37.290940  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:08:37.291005  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:08:40.729813  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.EdgePlacement: the server could not find the requested resource
E0814 23:08:40.730025  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.EdgePlacement: failed to list *v1alpha1.EdgePlacement: the server could not find the requested resource
W0814 23:08:56.861584  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.Location: the server could not find the requested resource
E0814 23:08:56.861614  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.Location: failed to list *v1alpha1.Location: the server could not find the requested resource
W0814 23:09:10.809504  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.EdgePlacement: the server could not find the requested resource
E0814 23:09:10.809560  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.EdgePlacement: failed to list *v1alpha1.EdgePlacement: the server could not find the requested resource
W0814 23:09:14.437764  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:09:14.437797  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:09:24.350814  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SinglePlacementSlice: the server could not find the requested resource
E0814 23:09:24.350854  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SinglePlacementSlice: failed to list *v1alpha1.SinglePlacementSlice: the server could not find the requested resource
W0814 23:09:37.298199  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.Location: the server could not find the requested resource
E0814 23:09:37.298238  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.Location: failed to list *v1alpha1.Location: the server could not find the requested resource
W0814 23:09:58.951486  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:09:58.951510  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:10:01.093977  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.EdgePlacement: the server could not find the requested resource
E0814 23:10:01.094024  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.EdgePlacement: failed to list *v1alpha1.EdgePlacement: the server could not find the requested resource
W0814 23:10:15.613495  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.Location: the server could not find the requested resource
